pre-fix,question,source,topic,concatenate
"Regarding My Business Account,",Why is this service offered?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Why is this service offered?"
"Regarding My Business Account,",What account data is displayed on my Account Balance?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,What account data is displayed on my Account Balance?"
"Regarding My Business Account,",Does the Account Balance include amounts in dispute or amounts not yet due?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Does the Account Balance include amounts in dispute or amounts not yet due?"
"Regarding My Business Account,",Why aren't all of my Period Ends displayed?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Why aren't all of my Period Ends displayed?"
"Regarding My Business Account,","Is this the balance as of today (i.e., interest is calculated as of today)?",https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Is this the balance as of today (i.e., interest is calculated as of today)?"
"Regarding My Business Account,",What are the interest rates on outstanding balances?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,What are the interest rates on outstanding balances?"
"Regarding My Business Account,",Who should I contact if there are discrepancies?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Who should I contact if there are discrepancies?"
"Regarding My Business Account,",Where can I call for help?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Where can I call for help?"
"Regarding My Business Account,",How can I get information for tax years prior to the years displayed on my Account Balance?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,How can I get information for tax years prior to the years displayed on my Account Balance?"
"Regarding My Business Account,","If I prefer using this service, can I stop receiving my monthly paper statements?",https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,If I prefer using this service, can I stop receiving my monthly paper statements?"
