,question,answer
0,e\,"Bot sentYou said: e. Sorry, I don’t understand your question. Can you please ask it in a different way?
"
1,"Regarding My Business Account,Why is this service offered?","Bot sentYou can register for My Business Account using one of two ways:

use a ‘Sign-In Partner’ (with your ID and password from select banks or credit unions)

or

create a CRA user ID and password. CRA will mail or email you a security code that you will need to access your account information.

For more information, see CRA Login services Help and FAQs.
The CRA has introduced multi-factor authentication to enhance the security of its online services, and ensure the safety and protection of taxpayer information. For more information on multi-factor authentication, see Multi-factor authentication to access CRA login services.
Please answer this short survey about your experience using Charlie the Chatbot.
"
2,"Regarding My Business Account,What account data is displayed on my Account Balance?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I register for My Business Account?Are there requirements for a TFSA?Can I start direct deposit?"
3,"Regarding My Business Account,Does the Account Balance include amounts in dispute or amounts not yet due?","Bot sentAnnual membership dues do not include initiation fees, licences, special assessments, or charges for anything other than the organization’s ordinary operating costs.
You cannot claim charges for pension plans as membership dues, even if your receipts show them as dues.
"
4,"Regarding My Business Account,Why aren't all of my Period Ends displayed?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I register for My Business Account?What do I do if I am a sole proprietor?"
5,"Regarding My Business Account,Is this the balance as of today (i.e., interest is calculated as of today)?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
6,"Regarding My Business Account,What are the interest rates on outstanding balances?","Bot sentWe have different income tax rates for individuals (personal taxes) and for businesses (corporate taxes).
See Canadian income tax rates for individuals.
See Corporation tax rates.
"
7,"Regarding My Business Account,Who should I contact if there are discrepancies?","Bot sentThe Contact the Canada Revenue Agency web page will help you find the correct phone number to contact the CRA and the hours of operation.
Please answer this short survey about your experience using Charlie the Chatbot.
"
8,"Regarding My Business Account,Where can I call for help?","Bot sentYou can register for My Business Account using one of two ways:

use a ‘Sign-In Partner’ (with your ID and password from select banks or credit unions)

or

create a CRA user ID and password. CRA will mail or email you a security code that you will need to access your account information.

For more information, see CRA Login services Help and FAQs.
The CRA has introduced multi-factor authentication to enhance the security of its online services, and ensure the safety and protection of taxpayer information. For more information on multi-factor authentication, see Multi-factor authentication to access CRA login services.
Please answer this short survey about your experience using Charlie the Chatbot.
"
9,"Regarding My Business Account,How can I get information for tax years prior to the years displayed on my Account Balance?","Bot sentHere’s the information I could find regarding Tax-Free Savings Account :
TFSA limitWho is eligible to open TFSA"
